    19,4642      -0,023952       0,032526    0,000795     0,055682   611,264811
    19,6532      -0,017899       0,031221    0,000662     0,048458   611,264811
    19,8421      -0,012613       0,029919    0,000549     0,041983   611,264811
    20,0311      -0,008029       0,028640    0,000454     0,036215   611,264811
    20,2201      -0,004109       0,027372    0,000375     0,031107   611,264811
    20,4090      -0,000791       0,026127    0,000308     0,026610   611,264811
    20,5980       0,001974       0,024900    0,000252     0,022674   611,264811
    20,7870       0,004247       0,023698    0,000206     0,019246   611,264811
    20,9760       0,006069       0,022519    0,000167     0,016282   611,264811
    21,1649       0,007502       0,021365    0,000135     0,013728   611,264811
    21,3539       0,008589       0,020238    0,000109     0,011540   611,264811
    21,5429       0,009378       0,019138    0,000088     0,009672   611,264811
    21,7319       0,009901       0,018064    0,000070     0,008092   611,264811
    21,9208       0,010207       0,017019    0,000056     0,006756   611,264811
    22,1098       0,010323       0,016000    0,000044     0,005632   611,264811
    22,2988       0,010284       0,015009    0,000035     0,004690   611,264811
    22,4877       0,010109       0,014045    0,000027     0,003909   611,264811
                                                  
